,timestamp,target
395,2019-01-31,80.0
396,2019-02-01,36.0
397,2019-02-02,48.0
398,2019-02-03,92.0
399,2019-02-04,79.0
400,2019-02-05,95.0
401,2019-02-06,77.0
402,2019-02-07,50.0
403,2019-02-08,43.0
404,2019-02-09,65.0
405,2019-02-10,123.0
406,2019-02-11,166.0
407,2019-02-12,117.0
408,2019-02-13,79.0
409,2019-02-14,109.0
410,2019-02-15,45.0
411,2019-02-16,29.0
412,2019-02-17,18.0
413,2019-02-18,36.0
414,2019-02-19,102.0
415,2019-02-20,113.0
416,2019-02-21,77.0
417,2019-02-22,94.0
418,2019-02-23,77.0
419,2019-02-24,84.0
420,2019-02-25,51.0
421,2019-02-26,29.0
422,2019-02-27,15.0
423,2019-02-28,50.0
424,2019-03-01,87.0
425,2019-03-02,112.0
426,2019-03-03,28.0
427,2019-03-04,39.0
428,2019-03-05,27.0
429,2019-03-06,56.0
430,2019-03-07,48.0
431,2019-03-08,67.0
432,2019-03-09,42.0
433,2019-03-10,34.0
434,2019-03-11,49.0
435,2019-03-12,57.0
436,2019-03-13,54.0
437,2019-03-14,86.0
438,2019-03-15,96.0
439,2019-03-16,60.36666666666667
440,2019-03-17,79.0
441,2019-03-18,88.0
442,2019-03-19,43.0
443,2019-03-20,72.0
444,2019-03-21,69.0
445,2019-03-22,59.0
446,2019-03-23,35.0
447,2019-03-24,57.0
448,2019-03-25,53.0
449,2019-03-26,57.0
450,2019-03-27,69.0
451,2019-03-28,36.0
452,2019-03-29,29.0
453,2019-03-30,67.0
454,2019-03-31,59.0
455,2019-04-01,39.0
456,2019-04-02,22.0
457,2019-04-03,57.0
458,2019-04-04,37.0
459,2019-04-05,27.0
460,2019-04-06,35.0
461,2019-04-07,64.0
462,2019-04-08,33.0
463,2019-04-09,43.0
464,2019-04-10,34.0
465,2019-04-11,40.0
466,2019-04-12,41.0
467,2019-04-13,29.0
468,2019-04-14,47.0
469,2019-04-15,61.0
470,2019-04-16,60.0
471,2019-04-17,35.0
472,2019-04-18,54.0
473,2019-04-19,55.0
474,2019-04-20,59.0
475,2019-04-21,26.0
476,2019-04-22,15.0
477,2019-04-23,51.0
478,2019-04-24,59.0
479,2019-04-25,65.0
480,2019-04-26,36.0
481,2019-04-27,74.0
482,2019-04-28,40.0
483,2019-04-29,30.0
484,2019-04-30,100.0
485,2019-05-01,128.0
486,2019-05-02,48.56666666666667
487,2019-05-03,149.0
488,2019-05-04,99.0
489,2019-05-05,67.0
490,2019-05-06,74.0
491,2019-05-07,150.0
492,2019-05-08,157.0
